suite,family,direction,method,case_id,h100_status,h100_parameters,h100_samples,h100_cycle_median,b200_status,b200_parameters,b200_samples,b200_cycle_median,ventus_status,ventus_parameters,ventus_samples,ventus_cycle,notes
feature,swizzle,roundtrip,tma,swizzle32,passed,bytes=4096;rank=2;layout=swizzle32;outstanding=1;ctas=1;batch=0,6,822,passed,bytes=4096;rank=2;layout=swizzle32;outstanding=1;ctas=1;batch=0,6,837,passed,bytes=4096;rank=2;layout=swizzle32;outstanding=1;ctas=1;batch=0,1,414,exact numeric parameters
feature,swizzle,roundtrip,tma,swizzle64,passed,bytes=4096;rank=2;layout=swizzle64;outstanding=1;ctas=1;batch=0,6,675,passed,bytes=4096;rank=2;layout=swizzle64;outstanding=1;ctas=1;batch=0,6,690,passed,bytes=4096;rank=2;layout=swizzle64;outstanding=1;ctas=1;batch=0,1,414,exact numeric parameters
feature,tile,g2s,cooperative128,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,153,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,149,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,tile,g2s,cooperative32,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,194,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,190,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,tile,g2s,tma,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,145,exact numeric parameters
feature,tile,roundtrip,cooperative128,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,328,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,320,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,tile,roundtrip,cooperative32,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,400,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,412,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,tile,roundtrip,tma,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,579,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,594,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,248,exact numeric parameters
feature,tile,s2g,cooperative128,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,236,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,143,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,tile,s2g,cooperative32,tile_16x16,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,283,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,177,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
